State,Rate
New Hampshire,94.2
Minnesota,94
North Dakota,93.7
Vermont,93.4
South Dakota,93
Nebraska,92.7
Wisconsin,92.7
Maine,92.6
Iowa,92.5
Missouri,92.5
Kansas,92.2
Indiana,92
Michigan,91.7
Rhode Island,91.5
Connecticut,91.4
Montana,91.2
Wyoming,91.1
Ohio,90.9
Utah,90.6
Washington,90.2
Colorado,90.1
Massachusetts,90.1
Oregon,89.8
Idaho,89.5
Delaware,89.3
Maryland,88.8
Virginia,88
Kentucky,87.8
Oklahoma,87.7
Pennsylvania,87.4
Illinois,87.1
Arizona,86.9
Tennessee,86.8
West Virginia,86.6
North Carolina,86.4
Arkansas,86.3
South Carolina,85.3
Alabama,85.2
Louisiana,84
Mississippi,84
Nevada,83.9
New Mexico,83.5
Georgia,83.3
New Jersey,83.1
Texas,81
Florida,80.3
New York,77.9
California,76.9
Hawaii, 84.1
Alaska, 90.8