state	population	percent
Alabama	185,602	3.7
 Alaska	214,642	3.0
 Arizona	1,957,668	25.9
 Arkansas	138,164	4.7
 California	11,423,146	30.7
 Colorado	757,181	15.1
 Connecticut	450,658	1.4
 Delaware	30,283	3.0
 District of Columbia	8,507	1.4
 Florida	629,718	3.3
Georgia	519,502	5.4
 Hawaii	35,415	2.6
 Idaho	148,923	9.5
 Illinois	1,602,403	12.5
 Indiana	295,373	4.6
 Iowa	117,090	3.8
 Kansas	247,297	8.7
 Kentucky	82,110	1.9
 Louisiana	78,643	1.7
 Maine	5,134	0.4
 Maryland	88,004	1.5
 Massachusetts	38,379	0.6
 Michigan	317,903	3.2
 Minnesota	176,007	3.3
 Mississippi	52,459	1.8
 Missouri	147,254	2.5
 Montana	20,048	2.0
 Nebraska	128,060	7.0
 Nevada	540,978	20.0
 New Hampshire	7,822	0.6
 New Jersey	217,715	2.5
 New Mexico	590,890	28.7
 New York	457,288	2.4
 North Carolina	486,960	5.1
  North Dakota	9,223	1.4
 Ohio	172,029	1.5
 Oklahoma	267,016	7.1
 Oregon	369,817	9.7
 Pennsylvania	129,568	1.0
 Rhode Island	9,090	0.9
 South Carolina	138,350	3.0
 South Dakota	13,839	1.7
 Tennessee	186,615	2.9
 Texas	7,951,193	31.6
 Utah	258,905	9.4
 Vermont	2,534	0.4
 Virginia	155,067	1.9
 Washington	601,768	8.9
 West Virginia	9,704	0.5
 Wisconsin	244,248	4.3
 Wyoming	37,719	6.7